Schematic Reference,Qty,Manufacturer,MPN,Description
IC1,1,Texas Instruments,TPL5110DDCR,System Timer
IC2,1,Microchip,ATTINY13A-SSHR,8-Bit MCU
IC3,1,Microchip,MCP6L01T-E/OT,1MHz Op-Amp
Q1,1,Fairchild Semiconductor,BSS84,P-Channel MOSFET
R1,1,KOA Speer,RK73H2ATTD1102F,11kΩ 1%
R2;R4,2,KOA Speer,RK73H2ATTD1502F,15kΩ 1%
R5;R11,2,KOA Speer,RK73H2ATTD82R0F,82Ω 1%
R10;R3;R6;R7;R8;R9,6,KOA Speer,RK73H2ATTD4702F,47kΩ 1%
C1;C2,2,Murata,GRM21BR71C105KA01L,1 µF
LED1,1,SloanLED,SMD-G0805-02,
LED2,1,SloanLED,SMD-R0805-02,
BT1,1,Linx,BAT-HLD-001,
S1,1,ALPS,SKQGAKE010,
